beer_beerid,beer_style,styles,beer_name
22520,13,American IPA,India Pale Ale
22575,13,American IPA,Bubblejack India Pale Ale
22654,13,American IPA,Kind Ale IPA
22861,13,American IPA,Mountain Mantra
22927,13,American IPA,Krippled Kangaroo IPA
22947,13,American IPA,Paleo IPA
23011,13,American IPA,IPA
23013,13,American IPA,Brouemont India Pale
23016,13,American IPA,Redback IPA
23045,13,American IPA,India Pale Ale
23079,13,American IPA,Hop Sack IPA
23227,13,American IPA,Woody Organic IPA
23231,13,American IPA,TMBC IPA
23257,13,American IPA,IPA
23319,13,American IPA,Jack Frost
23320,13,American IPA,Bombay IPA
23377,13,American IPA,Tartar Control IPA
23404,13,American IPA,Harpoon IPA (Oak Aged)
23407,13,American IPA,Willimantic Pushing The Envelope IPA
23479,13,American IPA,Bootleg IPA
23510,13,American IPA,Jaxon's Andale IPA
23577,13,American IPA,India Pale Ale
23778,13,American IPA,Hoptimistic India Pale Ale
23809,13,American IPA,India Pale Ale
23864,13,American IPA,Rockford Bay IPA
23887,13,American IPA,IPA
23892,13,American IPA,Illusion Dweller IPA
23901,13,American IPA,IPA
23927,13,American IPA,Hop Haven IPA
23933,13,American IPA,Minoh IPA
24053,13,American IPA,Bourbon Barrel India Pale Ale
24159,13,American IPA,Malt Aimée
24201,13,American IPA,Ram's Head India Pale Ale
24220,13,American IPA,Captain Cascade
24222,13,American IPA,India Pale Ale
24240,13,American IPA,Hopsmack
24297,13,American IPA,Zona Brewing India Pale Ale
24337,13,American IPA,The Drafting Room 11th Anniversary Ale
24433,13,American IPA,Summer IPA
24522,13,American IPA,Bi-Centennial IPA
24721,13,American IPA,Dry Hopper
24736,13,American IPA,Legacy IPA
24741,13,American IPA,IPA
24762,13,American IPA,Full Broadside
24801,13,American IPA,Sunspot IPA (Brewmaster Reserve)
24806,13,American IPA,Hopped Out Ale
24810,13,American IPA,Kodiak IPA
24872,13,American IPA,Cascade Hopped Super IPA
24904,13,American IPA,India Pale Ale
24927,13,American IPA,Old Capitol Brew Works IPA
24928,13,American IPA,John Boy's Nervous Breakdown
24949,13,American IPA,Golden Spike IPA
24989,13,American IPA,Auld Acquaintance IPA
25055,13,American IPA,Colonel Park's Pale Ale
25109,13,American IPA,Piglet Purgatory
25113,13,American IPA,Willimantic EurIPAen
25144,13,American IPA,Dundee India Pale Ale
25155,13,American IPA,Wave Warrior IPA
25248,13,American IPA,Market Street IPA
25282,13,American IPA,Hoppy Frog
25329,13,American IPA,Bombay Bomber IPA
25444,13,American IPA,Pyramid IPA
25562,13,American IPA,India Pale Ale
25703,13,American IPA,Mad PIPA'
25796,13,American IPA,IPA
25863,13,American IPA,Big Horn Big Red IPA
25924,13,American IPA,Big Hop Harvest Ale
26074,13,American IPA,Perspective IPA
26132,13,American IPA,IPA
26151,13,American IPA,Monty's Fathead IPA
26382,13,American IPA,Hip Hop
26391,13,American IPA,Slapshot IPA
26647,13,American IPA,Bitter Insanity IPA
26651,13,American IPA,12 Year Anniversary Ale
26676,13,American IPA,Brown Recluse IPA
26684,13,American IPA,Anniversary Ale 2005
26768,13,American IPA,Heart Of Gold India Pale  Ale
26803,13,American IPA,Silver Creek IPA
26819,13,American IPA,Simply Simcoe #1
26868,13,American IPA,IPA
26877,13,American IPA,Private IPA
26919,13,American IPA,Thoms' Special IPA
26930,13,American IPA,Late Harvest IPA
26932,13,American IPA,Croupier IPA
26948,13,American IPA,Big Cock Country IPA
26978,13,American IPA,Harvest IPA
26999,13,American IPA,Winter Brew 2005
27010,13,American IPA,Warning IPA
27065,13,American IPA,Indian Pale Ale
27168,13,American IPA,Presidential IPA
27243,13,American IPA,Atwater Salvation IPA
27297,13,American IPA,Emeritus
27304,13,American IPA,Willimantic Drewry Brewery IPA
27364,13,American IPA,Big Swell IPA
27409,13,American IPA,Cask-Conditioned IPA
27451,13,American IPA,Winter Ale
27467,13,American IPA,Lincoln Park IPA
27571,13,American IPA,Hoppyum IPA
27574,13,American IPA,Drunken Frog IPA
27604,13,American IPA,Duet IPA
27645,13,American IPA,Bozone IPA
27664,13,American IPA,Newark IPA
27669,13,American IPA,FestivAle '05 - '06
27743,13,American IPA,Willimantic IPA 2006
27745,13,American IPA,Edge City IPA
27754,13,American IPA,El Bandito Loco
27882,13,American IPA,Olympic IPA
27981,13,American IPA,India Pale Ale
27997,13,American IPA,White Star India Pale Ale
28056,13,American IPA,Justice
28108,13,American IPA,India Pale Ale
28139,13,American IPA,Green Man Dry Hopped India Pale Ale
28171,13,American IPA,Grizzly Peak American IPA
28203,13,American IPA,Furious
